"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","YC164J-200KCT-ND","YC164-JR-07200KL","RES ARRAY 4 RES 200K OHM 1206","","1","0","0.10000","0.10"
"2","1","563-1104-1-ND","CUS-14TB","SWITCH SLIDE SP4T 300MA 4V","","1","0","0.99000","0.99"
"3","1","1276-1066-1-ND","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805","","1","0","0.08000","0.08"
"4","1","1727-4310-1-ND","BAV70S,115","DIODE ARRAY GP 100V 250MA 6TSSOP","","1","0","0.21000","0.21"
"5","1","150-SST39SF010A-70-4C-TU-ND","SST39SF010A-70-4C-TU","4.5V TO 5.5V 1MBIT MULTI-PURPOSE","","1","0","1.71000","1.71"
